Player SkillRating(Si) BasePrice(Pi) 
ViratKohli 95 10crore 
RohitSharma 93 8crore 
JaspritBumrah 90 7crore 
MSDhoni 92 6crore 
HardikPandya 88 5crore 
KLRahul 89 6crore 
RavindraJadeja 87 5crore 
ShikharDhawan 86 4crore 
RishabhPant 85 5crore 
MohammedShami 84 4crore 
YuzvendraChahal 83 3crore 
SuryakumarYadav 82 4crore 
ShreyasIyer 81 3crore 
SanjuSamson 80 2crore 
BhuvneshwarKumar 79 3crore 
DavidWarner 94 9crore 
KagisoRabada 91 7crore 
ABdeVilliers 96 11crore 
RashidKhan 90 8crore 
AndreRussell 89 7crore 
ChrisGayle 88 6crore 
JosButtler 87 5crore 
BenStokes 86 6crore 
PatCummins 85 5crore 
TrentBoult 84 4crore 
KaneWilliamson 83 3crore 
QuintondeKock 82 4crore 
FafduPlessis 81 3crore 
GlennMaxwell 80 4crore 
SunilNarine 79 3crore 
SteveSmith 78 2crore 
JasonHolder 77 3crore 
KieronPollard 76 2crore 
DwayneBravo 75 1crore 
ImranTahir 74 1crore 
ShakibAlHasan 73 2crore 
MoeenAli 72 1crore 
LiamLivingstone 71 2crore 
LockieFerguson 70 1crore 
NicholasPooran 69 1crore 
IshanKishan 68 1crore 
DevduttPadikkal 67 1crore 
PrithviShaw 66 1crore 
ShubmanGill 65 1crore 
RahulTewatia 64 1crore 
VarunChakravarthy 63 1crore 
TNatarajan 62 1crore 
AxarPatel 61 1crore 
DeepakChahar 60 1crore 
AveshKhan 59 1crore
